route,num_operators,total_flights_season,avg_weekly_frequency,hhi,top_operator,top_operator_share_pct,market_structure
TIRUPATI-VISAKHAPATNAM,1,418.0,13.9,10000.0,IndiGo,100.0,Monopoly
PASIGHAT-SHILLONG,1,179.1,6.0,10000.0,Alliance Air,100.0,Monopoly
NAVI MUMBAI-VISAKHAPATNAM,1,209.0,7.0,10000.0,IndiGo,100.0,Monopoly
NAVI MUMBAI-VADODARA,1,298.6,10.0,10000.0,IndiGo,100.0,Monopoly
NAVI MUMBAI-TIRUPATI,1,418.0,13.9,10000.0,IndiGo,100.0,Monopoly
NAVI MUMBAI-THIRUVANANTHAPURAM,1,416.3,13.9,10000.0,IndiGo,100.0,Monopoly
NAVI MUMBAI-SRINAGAR,1,268.3,8.9,10000.0,IndiGo,100.0,Monopoly
NAVI MUMBAI-RAJKOT,1,836.0,27.9,10000.0,IndiGo,100.0,Monopoly
NAVI MUMBAI-RAIPUR,1,418.0,13.9,10000.0,IndiGo,100.0,Monopoly
NAVI MUMBAI-PATNA,1,418.0,13.9,10000.0,IndiGo,100.0,Monopoly
NAGPUR-PUNE,1,1192.6,39.8,10000.0,IndiGo,100.0,Monopoly
NAGPUR-NAVI MUMBAI,1,267.3,8.9,10000.0,IndiGo,100.0,Monopoly
NAGPUR-NANDED,1,298.6,10.0,10000.0,Ghodawat Enterprises (Fly91),100.0,Monopoly
MUMBAI-VISAKHAPATNAM,1,209.0,7.0,10000.0,IndiGo,100.0,Monopoly
AHMEDABAD-JALGAON,1,418.0,13.9,10000.0,Alliance Air,100.0,Monopoly
AHMEDABAD-JAIPUR,1,1670.3,55.7,10000.0,IndiGo,100.0,Monopoly
AHMEDABAD-INDORE,1,878.9,29.3,10000.0,IndiGo,100.0,Monopoly
AHMEDABAD-HISSAR,1,59.7,2.0,10000.0,Alliance Air,100.0,Monopoly
AHMEDABAD-GUWAHATI,1,418.0,13.9,10000.0,IndiGo,100.0,Monopoly
AHMEDABAD-GOA,1,475.1,15.8,10000.0,IndiGo,100.0,Monopoly
AHMEDABAD-DEHRADUN,1,416.3,13.9,10000.0,IndiGo,100.0,Monopoly
AHMEDABAD-CHANDIGARH,1,774.6,25.8,10000.0,IndiGo,100.0,Monopoly
AHMEDABAD-BHUBANESWAR,1,416.1,13.9,10000.0,IndiGo,100.0,Monopoly
AHMEDABAD-BHOPAL,1,418.0,13.9,10000.0,IndiGo,100.0,Monopoly
AHMEDABAD-BAGDOGRA,1,357.4,11.9,10000.0,Akasa Air,100.0,Monopoly
AHMEDABAD-PATNA,1,418.0,13.9,10000.0,IndiGo,100.0,Monopoly
AHMEDABAD-NAVI MUMBAI,1,894.0,29.8,10000.0,IndiGo,100.0,Monopoly
AHMEDABAD-NASIK,1,418.0,13.9,10000.0,IndiGo,100.0,Monopoly
