year,month,total_pax
2019,January,12469075
2019,February,11321549
2019,March,11557816
2019,April,10967168
2019,May,12151749
2019,June,11989365
2019,July,11863940
2019,August,11756732
2019,September,11488069
2019,October,12280250
2019,November,12910135
2019,December,12980408
2020,January,12747591
2020,February,12331165
2020,March,7735665
2020,May,278417
2020,June,1976228
2020,July,2101122
2020,August,2824787
2020,September,3939687
2020,October,5268696
2020,November,6342589
2020,December,7306064
2021,January,7704022
2021,February,7795243
2021,March,7787310
2021,April,5647434
2021,May,1974411
2021,June,3028643
2021,July,4897664
2021,August,6544056
2021,September,6891878
2021,October,8784144
2021,November,10471234
2021,December,11156079
2022,January,6410579
2022,February,7695734
2022,March,10619642
2022,April,10549088
2022,May,11470422
2022,June,10514030
2022,July,9704934
2022,August,10115739
2022,September,10346833
2022,October,11400977
2022,November,11678582
2022,December,12735454
2023,January,12551012
2023,February,12068360
2023,March,12893185
2023,April,12888410
2023,May,13214177
2023,June,12486591
2023,July,12100018
2023,August,12422663
2023,September,12246539
2023,October,12636721
2023,November,12735385
2023,December,13797338
2024,January,13131591
2024,February,12647168
2024,March,13367446
2024,April,13200040
2024,May,13795301
2024,June,13205811
2024,July,12986092
2024,August,13130429
2024,September,13027324
2024,October,13657182
2024,November,14250266
2024,December,14926352
2025,January,14609642
2025,February,14042640
2025,March,14541682
2025,April,14314651
2025,May,14054824
2025,June,13604312
2025,July,12605312
2025,August,12948637
2025,September,12643541
2025,October,14028094
2025,November,15236646
2025,December,14306483
