city,population_2011,population_lakhs,total_pax_2025,routes_2025,pax_per_lakh,connectivity_status
LUDHIANA,1618879,16.19,631,1,39,Critically Underserved
DATIA,98462,0.98,825,2,842,Small Airport Town
AMRAVATI,549510,5.5,6952,1,1264,Critically Underserved
AMBIKAPUR,105681,1.06,1356,2,1279,Small Airport Town
JAMSHEDPUR,629659,6.3,8728,2,1385,Critically Underserved
SHOLAPUR,951118,9.51,16158,2,1699,Critically Underserved
HISSAR,301249,3.01,6408,4,2129,Critically Underserved
REWA,235654,2.36,5628,4,2385,Small Airport Town
ROURKELA,484959,4.85,15702,2,3238,Critically Underserved
KALABURAGI,532031,5.32,18908,1,3554,Critically Underserved
ZIRO,18000,0.18,738,2,4100,Small Airport Town
KURNOOL,420748,4.21,19693,4,4678,Critically Underserved
GHAZIABAD,1636068,16.36,80685,10,4932,Critically Underserved
PORBANDAR,133083,1.33,6686,2,5027,Small Airport Town
COOCH BEHAR,106766,1.07,5623,1,5255,Small Airport Town
BHAVNAGAR,593768,5.94,32618,3,5491,Underserved
BHATINDA,285813,2.86,17464,3,6106,Small Airport Town
BIKANER,644406,6.44,40966,2,6361,Underserved
SIMLA,169578,1.7,13825,3,8132,Small Airport Town
MYSORE,920550,9.21,85856,2,9322,Underserved
BILASPUR,370226,3.7,39778,9,10751,Underserved
BIDAR,173782,1.74,22381,1,12863,Small Airport Town
KANPUR,2765348,27.65,355684,6,12864,Underserved
BAREILLY,898167,8.98,120293,3,13396,Underserved
SALEM,831038,8.31,118740,4,14289,Underserved
AGRA,1574542,15.75,230831,7,14656,Underserved
PONDICHERRY,650000,6.5,96323,3,14819,Underserved
PASIGHAT,27628,0.28,4259,3,15211,Small Airport Town
JEYPORE,90229,0.9,14816,2,16462,Small Airport Town
KESHOD,40000,0.4,7404,3,18510,Small Airport Town
PITHORAGARH,54000,0.54,10271,3,19020,Small Airport Town
CUDDAPAH,344078,3.44,68388,3,19880,Underserved
JAMNAGAR,600943,6.01,121893,3,20282,Underserved
UTKELA,20000,0.2,4457,2,22285,Small Airport Town
RUPSI,30000,0.3,6914,2,23047,Small Airport Town
LILABARI,50000,0.5,12146,2,24292,Small Airport Town
PURNEA,301077,3.01,76747,4,25497,Underserved
SHILLONG,354759,3.55,92807,6,26143,Underserved
NASIK,1486053,14.86,401142,12,26995,Underserved
JALGAON,460228,4.6,126566,5,27514,Underserved
GWALIOR,1054420,10.54,292535,5,27755,Underserved
GONDIA,116754,1.17,32850,2,28077,Small Airport Town
NANDED,550564,5.51,163662,8,29703,Underserved
KOLHAPUR,549283,5.49,164834,7,30024,Adequately Connected
KANDLA,100000,1.0,34909,2,34909,Small Airport Town
SURAT,4591246,45.91,1611853,16,35109,Adequately Connected
HUBLI,943857,9.44,363730,7,38531,Adequately Connected
VIDYANAGAR,35000,0.35,13766,2,39331,Small Airport Town
JABALPUR,1054336,10.54,490280,9,46516,Adequately Connected
GAYA,470839,4.71,241377,3,51248,Adequately Connected
KISHANGARH,235000,2.35,122487,6,52122,Small Airport Town
SHIVAMOGGA,323040,3.23,171881,6,53214,Adequately Connected
AURANGABAD,1171330,11.71,631380,10,53918,Adequately Connected
TEZU,20000,0.2,11433,4,57165,Small Airport Town
JAGDALPUR,101798,1.02,58845,6,57691,Small Airport Town
BELGAUM,488292,4.88,298366,11,61141,Adequately Connected
TUTICORIN,412503,4.13,279666,3,67716,Adequately Connected
VADODARA,1666703,16.67,1243810,10,74614,Adequately Connected
TIRUCHIRAPALLY,916674,9.17,784094,8,85506,Adequately Connected
BHOPAL,1798218,17.98,1576781,18,87696,Adequately Connected
RAJKOT,1286995,12.87,1153731,11,89645,Adequately Connected
PRAYAGRAJ,1117094,11.17,1048049,20,93827,Adequately Connected
DURGAPUR,566937,5.67,535727,14,94484,Adequately Connected
KULLU,18536,0.19,18233,6,95963,Small Airport Town
KOZHIKODE,878000,8.78,846826,12,96449,Adequately Connected
