route,operator,flights_in_season,route_total,share_pct
AGARTALA-BAGDOGRA,Air India Express,351.1428571428571,351.1428571428571,100.0
AGARTALA-BENGALURU,IndiGo,411.4285714285714,411.4285714285714,100.0
AGARTALA-DELHI,IndiGo,595.4285714285714,595.4285714285714,100.0
AGARTALA-DIBRUGARH,IndiGo,146.14285714285714,146.14285714285714,100.0
AGARTALA-GUWAHATI,IndiGo,476.0,624.4285714285714,76.23
AGARTALA-GUWAHATI,Akasa Air,148.42857142857144,624.4285714285714,23.77
AGARTALA-HYDERABAD,IndiGo,237.7142857142857,237.7142857142857,100.0
AGARTALA-IMPHAL,IndiGo,176.57142857142856,176.57142857142856,100.0
AGARTALA-KOLKATA,IndiGo,2587.0,3632.0,71.23
AGARTALA-KOLKATA,Air India Express,1045.0,3632.0,28.77
AGARTALA-SILCHAR,IndiGo,117.71428571428572,117.71428571428572,100.0
AGATTI ISLAND-BENGALURU,IndiGo,112.0,112.0,100.0
AGATTI ISLAND-KOCHI,Alliance Air,418.0,1158.5714285714284,36.08
AGATTI ISLAND-KOCHI,JustUdo Aviation (IndiaOne Air),418.0,1158.5714285714284,36.08
AGATTI ISLAND-KOCHI,IndiGo,322.57142857142856,1158.5714285714284,27.84
AGATTI ISLAND-MOPA,JustUdo Aviation (IndiaOne Air),415.4285714285714,415.4285714285714,100.0
AGRA-BENGALURU,IndiGo,417.0,417.0,100.0
AGRA-HYDERABAD,IndiGo,234.57142857142856,234.57142857142856,100.0
AGRA-NAVI MUMBAI,IndiGo,176.57142857142858,176.57142857142858,100.0
AHMEDABAD-AMRITSAR,IndiGo,177.42857142857144,177.42857142857144,100.0
AHMEDABAD-AYODHYA,IndiGo,358.2857142857143,358.2857142857143,100.0
AHMEDABAD-BAGDOGRA,Akasa Air,357.42857142857144,357.42857142857144,100.0
AHMEDABAD-BENGALURU,IndiGo,2076.8571428571427,4701.857142857142,44.17
AHMEDABAD-BENGALURU,Air India Express,1252.2857142857142,4701.857142857142,26.63
AHMEDABAD-BENGALURU,Akasa Air,922.0,4701.857142857142,19.61
AHMEDABAD-BENGALURU,SpiceJet,450.7142857142857,4701.857142857142,9.59
AHMEDABAD-BHOPAL,IndiGo,418.0,418.0,100.0
AHMEDABAD-BHUBANESWAR,IndiGo,416.1428571428572,416.1428571428572,100.0
AHMEDABAD-CHANDIGARH,IndiGo,774.5714285714286,774.5714285714286,100.0
AHMEDABAD-CHENNAI,IndiGo,1370.857142857143,1874.857142857143,73.12
AHMEDABAD-CHENNAI,SpiceJet,446.0,1874.857142857143,23.79
AHMEDABAD-CHENNAI,Akasa Air,58.0,1874.857142857143,3.09
AHMEDABAD-DEHRADUN,IndiGo,416.2857142857143,416.2857142857143,100.0
AHMEDABAD-DELHI,Air India,3818.428571428572,7954.0,48.01
AHMEDABAD-DELHI,IndiGo,3660.571428571429,7954.0,46.02
AHMEDABAD-DELHI,SpiceJet,417.0,7954.0,5.24
AHMEDABAD-DELHI,Akasa Air,58.0,7954.0,0.73
AHMEDABAD-DIU,IndiGo,417.1428571428571,535.1428571428571,77.95
AHMEDABAD-DIU,Ghodawat Enterprises (Fly91),118.0,535.1428571428571,22.05
AHMEDABAD-GOA,IndiGo,475.1428571428571,475.1428571428571,100.0
AHMEDABAD-GUWAHATI,IndiGo,418.0,418.0,100.0
AHMEDABAD-HISSAR,Alliance Air,59.71428571428572,59.71428571428572,100.0
AHMEDABAD-HYDERABAD,IndiGo,1964.857142857143,1998.857142857143,98.3
AHMEDABAD-HYDERABAD,SpiceJet,34.0,1998.857142857143,1.7
AHMEDABAD-INDORE,IndiGo,878.8571428571429,878.8571428571429,100.0
AHMEDABAD-JAIPUR,IndiGo,1670.2857142857142,1670.2857142857142,100.0
AHMEDABAD-JALGAON,Alliance Air,418.0,418.0,100.0
AHMEDABAD-JAMMU,IndiGo,208.0,208.0,100.0
AHMEDABAD-JAMNAGAR,Ghodawat Enterprises (Fly91),355.28571428571433,355.28571428571433,100.0
AHMEDABAD-JODHPUR,IndiGo,288.8571428571429,288.8571428571429,100.0
AHMEDABAD-KESHOD,Alliance Air,179.14285714285714,179.14285714285714,100.0
AHMEDABAD-KISHANGARH,IndiGo,415.1428571428571,415.1428571428571,100.0
AHMEDABAD-KOCHI,IndiGo,418.0,418.0,100.0
AHMEDABAD-KOLKATA,SpiceJet,1403.2857142857142,3071.5714285714284,45.69
AHMEDABAD-KOLKATA,IndiGo,1253.142857142857,3071.5714285714284,40.8
AHMEDABAD-KOLKATA,Akasa Air,415.1428571428572,3071.5714285714284,13.52
AHMEDABAD-LUCKNOW,IndiGo,804.0,804.0,100.0
AHMEDABAD-MOPA,IndiGo,414.7142857142857,510.7142857142857,81.2
AHMEDABAD-MOPA,Akasa Air,96.0,510.7142857142857,18.8
AHMEDABAD-MUMBAI,IndiGo,3340.5714285714284,6201.142857142857,53.87
AHMEDABAD-MUMBAI,Air India,2487.0,6201.142857142857,40.11
AHMEDABAD-MUMBAI,Akasa Air,196.14285714285717,6201.142857142857,3.16
AHMEDABAD-MUMBAI,Alliance Air,119.42857142857144,6201.142857142857,1.93
AHMEDABAD-MUMBAI,SpiceJet,58.0,6201.142857142857,0.94
AHMEDABAD-NAGPUR,IndiGo,835.1428571428571,835.1428571428571,100.0
AHMEDABAD-NANDED,Ghodawat Enterprises (Fly91),328.0,328.0,100.0
AHMEDABAD-NASIK,IndiGo,418.0,418.0,100.0
AHMEDABAD-NAVI MUMBAI,IndiGo,894.0,894.0,100.0
