year,month,route,pax_to,pax_from,total_pax
2021,July,AGARTALA-AHMEDABAD,0,210,210
2021,July,AGARTALA-BENGALURU,576,237,813
2021,July,AGARTALA-CHENNAI,197,0,197
2021,July,AGARTALA-DELHI,3733,3418,7151
2021,July,AGARTALA-DIBRUGARH,339,330,669
2021,July,AGARTALA-GUWAHATI,1846,1848,3694
2021,July,AGARTALA-HYDERABAD,113,103,216
2021,July,AGARTALA-KOLKATA,15980,12985,28965
2021,July,AGARTALA-MUMBAI,0,27,27
2021,July,AGARTALA-SHILLONG,147,141,288
2021,July,AGATTI ISLAND-BENGALURU,10,7,17
2021,July,AGATTI ISLAND-KOCHI,352,381,733
2021,July,AGATTI ISLAND-MYSORE,2,2,4
2021,July,AGRA-AHMEDABAD,359,322,681
2021,July,AGRA-BENGALURU,2300,1846,4146
2021,July,AGRA-KOLKATA,13,14,27
2021,July,AGRA-MUMBAI,380,398,778
2021,July,AHMEDABAD-AJMER,1082,1036,2118
2021,July,AHMEDABAD-BAGDOGRA,481,221,702
2021,July,AHMEDABAD-BELGAUM,779,787,1566
2021,July,AHMEDABAD-BENGALURU,19117,17209,36326
2021,July,AHMEDABAD-BHUBANESWAR,1349,1391,2740
2021,July,AHMEDABAD-CHANDIGARH,7712,7141,14853
2021,July,AHMEDABAD-CHENNAI,6931,6493,13424
2021,July,AHMEDABAD-COIMBATORE,0,742,742
2021,July,AHMEDABAD-GOA,5939,5241,11180
2021,July,AHMEDABAD-DARBHANGA,1652,2215,3867
2021,July,AHMEDABAD-DEHRADUN,3478,3645,7123
2021,July,AHMEDABAD-DELHI,42162,41206,83368
2021,July,AHMEDABAD-GUWAHATI,567,810,1377
2021,July,AHMEDABAD-GWALIOR,519,506,1025
2021,July,AHMEDABAD-HYDERABAD,10541,11474,22015
2021,July,AHMEDABAD-INDORE,1035,762,1797
2021,July,AHMEDABAD-JAIPUR,5789,4966,10755
2021,July,AHMEDABAD-JAISALMER,438,386,824
2021,July,AHMEDABAD-JALGAON,191,202,393
2021,July,AHMEDABAD-JODHPUR,365,404,769
2021,July,AHMEDABAD-KANDLA,152,233,385
