city,max_pax,min_pax,avg_pax,total_pax,seasonality_index,peak_month,months_with_data
ZIRO,137,7,44.5,534,292.1,December,12
LUDHIANA,497,32,218.1818181818182,2400,213.1,September,11
SHIVAMOGGA,22114,3560,9670.0,116040,191.9,December,12
KHAJURAHO,20852,4217,9079.166666666666,108950,183.2,November,12
ALIGARH,274,24,140.8,1408,177.6,August,10
PONDICHERRY,17341,1990,8706.222222222223,78356,176.3,January,9
PITHORAGARH,1491,280,696.2727272727273,7659,173.9,November,11
CHITRAKOOT,234,16,126.7,1267,172.1,October,10
UTKELA,533,144,239.0,2868,162.8,December,12
BIKANER,2405,406,1243.25,14919,160.8,November,12
JALGAON,12436,1046,7166.555555555556,64499,158.9,December,9
KESHOD,4374,816,2464.75,29577,144.4,November,12
ADAMPUR,3727,117,2624.4,26244,137.6,December,10
TEZU,5428,1140,3136.9166666666665,37643,136.7,September,12
PANTNAGAR,24131,1024,17008.833333333332,204106,135.9,May,12
NANDED,14751,432,10571.8,105718,135.4,December,10
MALVAN,4530,1193,2523.833333333333,30286,132.2,September,12
AZAMGARH,181,29,116.11111111111111,1045,130.9,May,9
SHRAVASTI,109,13,74.2,742,129.4,October,10
DIU,19114,3990,11877.666666666666,142532,127.3,December,12
HINDON,9245,722,6769.363636363636,74463,125.9,December,11
BIDAR,2716,617,1705.0833333333333,20461,123.1,October,12
DEOGHAR,46331,12703,27611.25,331335,121.8,December,12
TEZPUR,10330,3020,6343.166666666667,76118,115.2,July,12
PASIGHAT,2473,859,1408.3333333333333,16900,114.6,December,12
GONDIA,4279,1282,2642.5,31710,113.4,December,12
AGATTI ISLAND,16138,4461,10405.25,124863,112.2,December,12
KULLU,5559,1502,3656.9166666666665,43883,110.9,October,12
SIMLA,4902,1092,3451.833333333333,41422,110.4,October,12
COOCH BEHAR,997,352,596.5833333333334,7159,108.1,December,12
KISHANGARH,14398,5925,8402.333333333334,100828,100.8,December,12
CUDDAPAH,10705,3217,7649.083333333333,91789,97.9,August,12
RUPSI,6060,1996,4159.583333333333,49915,97.7,September,12
BHATINDA,3753,1238,2610.083333333333,31321,96.4,December,12
ITANAGAR,32223,12010,21808.83333333333,261706,92.7,October,12
AYODHYA,100993,24620,83174.75,998097,91.8,June,12
PORT BLAIR,357595,148359,247628.5,2971542,84.5,December,12
ROURKELA,7147,2370,5669.416666666667,68033,84.3,April,12
JEYPORE,2391,908,1764.5833333333333,21175,84.0,December,12
SALEM,18069,8443,11495.583333333334,137947,83.7,December,12
LILABARI,8215,3673,5629.5,67554,80.7,July,12
JAMSHEDPUR,1798,779,1306.75,15681,78.0,December,12
DHARAMSALA,49825,23412,34224.75,410697,77.2,May,12
BILASPUR,7213,3281,5692.583333333333,68311,69.1,December,12
LEH,228417,111086,173527.91666666666,2082335,67.6,June,12
KANPUR,61581,30063,46677.66666666666,560132,67.5,December,12
BHAVNAGAR,16861,8324,12776.666666666666,153320,66.8,January,12
BHUJ,21890,10718,17233.833333333332,206806,64.8,December,12
NASIK,56032,30960,44103.833333333336,529246,56.8,December,12
KANDLA,14830,8156,11908.916666666666,142907,56.0,January,12
KALABURAGI,11016,6395,8261.0,99132,55.9,January,12
VIDYANAGAR,10134,5837,7845.666666666667,94148,54.8,January,12
DARBHANGA,114817,70747,88775.5,1065306,49.6,December,12
JAGDALPUR,13935,8361,11257.666666666666,135092,49.5,May,12
VARANASI,650729,403476,523286.5,6279438,47.3,November,12
MYSORE,23175,14449,18510.33333333333,222124,47.1,May,12
AGRA,34586,22071,26895.33333333333,322744,46.5,December,12
JHARSUGUDA,52473,33047,42850.5,514206,45.3,December,12
KURNOOL,6355,4101,5027.833333333333,60334,44.8,January,12
GWALIOR,65518,41944,55408.833333333336,664906,42.5,June,12
KANNUR,80185,53427,65220.25,782643,41.0,December,12
UDAIPUR,319979,214706,258659.25,3103911,40.7,December,12
SRINAGAR,845803,573399,691704.8333333334,8300458,39.4,May,12
VIJAYAWADA,214394,145469,176789.91666666666,2121479,39.0,December,12
GORAKHPUR,154608,107282,122507.58333333331,1470091,38.6,December,12
THIRUVANANTHAPURAM,487430,340814,398869.5833333333,4786435,36.8,December,12
JODHPUR,217651,153821,177493.58333333334,2129923,36.0,December,12
PRAYAGRAJ,114209,79391,101066.33333333331,1212796,34.5,June,12
RAJKOT,199330,143090,163144.0,1957728,34.5,December,12
SHIRDI,146511,103875,123619.58333333331,1483435,34.5,December,12
DEHRADUN,315646,223682,270659.8333333333,3247918,34.0,May,12
MANGALORE,305650,219418,254106.91666666663,3049283,33.9,December,12
GOA,2089221,1507912,1717779.8333333333,20613358,33.8,December,12
DURGAPUR,101081,72309,85311.91666666667,1023743,33.7,October,12
SURAT,278165,200184,236496.5833333333,2837959,33.0,December,12
BELGAUM,62261,45845,51049.5,612594,32.2,December,12
AIZAWL,79604,57648,70525.58333333333,846307,31.1,December,12
BHOPAL,282113,209139,235545.8333333333,2826550,31.0,December,12
AMRITSAR,426907,317504,358407.0,4300884,30.5,December,12
DIMAPUR,60395,44725,51964.16666666666,623570,30.2,December,12
RAJAHMUNDRY,85020,64672,70335.25,844023,28.9,December,12
BAREILLY,21652,15794,20412.33333333333,244948,28.7,March,12
TUTICORIN,40835,31039,34457.666666666664,413492,28.4,May,12
JABALPUR,67885,51361,59698.583333333336,716383,27.7,December,12
SHILLONG,28186,21262,25354.25,304251,27.3,January,12
JORHAT,29176,22501,25098.166666666668,301178,26.6,March,12
JAIPUR,1014119,787619,850275.0833333334,10203301,26.6,December,12
