route,max_pax,min_pax,avg_pax,annual_pax,seasonality_index,peak_month
AHMEDABAD-BAGDOGRA,25926,1046,9418.0,113016,264.2,May
MUMBAI-PORT BLAIR,26030,38,11143.363636363636,122577,233.3,December
LEH-SRINAGAR,13511,3074,5156.333333333333,61876,202.4,April
BENGALURU-GORAKHPUR,15476,1107,7177.0,86124,200.2,December
GWALIOR-HYDERABAD,8063,982,4312.333333333333,51748,164.2,May
BENGALURU-DARBHANGA,20397,1402,11938.583333333334,143263,159.1,December
HUBLI-MUMBAI,19318,3770,9852.416666666666,118229,157.8,December
AYODHYA-BENGALURU,20847,2062,12389.416666666666,148673,151.6,December
GOA-VADODARA,13291,3241,6689.083333333333,80269,150.2,December
KOCHI-KOLKATA,28599,6849,14929.333333333334,179152,145.7,December
BENGALURU-SRINAGAR,25756,4906,14522.75,174273,143.6,May
BHUBANESWAR-GUWAHATI,20084,5721,10185.333333333334,122224,141.0,December
BENGALURU-PORT BLAIR,45879,8103,26985.916666666668,323831,140.0,December
LEH-MUMBAI,17388,1441,11428.857142857143,80002,139.5,June
LUCKNOW-SRINAGAR,9456,1481,5878.363636363636,64662,135.7,June
PUNE-VARANASI,20831,451,15089.90909090909,165989,135.1,May
BELGAUM-DELHI,20004,6494,10143.083333333334,121717,133.2,December
MUMBAI-TIRUCHIRAPALLY,12035,3836,6190.0,74280,132.5,December
DELHI-PANTNAGAR,17633,484,13006.0,156072,131.9,May
HYDERABAD-PORT BLAIR,26990,5121,17078.166666666668,204938,128.1,December
JAISALMER-MUMBAI,21931,3772,14284.333333333334,85706,127.1,December
GOA-RAJKOT,13133,3914,7331.916666666667,87983,125.7,November
GUWAHATI-JAIPUR,21001,4682,13005.916666666666,156071,125.5,March
KOLKATA-SRINAGAR,18178,4227,11155.0,133860,125.1,May
GOA-JAIPUR,34077,9233,20079.916666666668,240959,123.7,December
DELHI-KHAJURAHO,13492,4217,7627.333333333333,91528,121.6,December
DEHRADUN-KOLKATA,10852,1127,8000.3,80003,121.6,May
DEHRADUN-PRAYAGRAJ,7739,2391,4474.0,53688,119.5,June
MANGALORE-PUNE,10259,1942,7000.75,84009,118.8,September
GOA-NAGPUR,32268,9568,19166.166666666668,229994,118.4,December
AHMEDABAD-SRINAGAR,22890,8342,12305.0,147660,118.2,November
MUMBAI-PUNE,8876,3039,4971.916666666667,59663,117.4,April
MUMBAI-TIRUPATI,9574,3373,5298.0,58278,117.0,December
PUNE-VADODARA,10438,3264,6132.5,73590,117.0,December
VIJAYAWADA-VISAKHAPATNAM,16166,6380,8398.0,100776,116.5,December
DELHI-TIRUPATI,12142,4146,6871.083333333333,82453,116.4,December
AMRITSAR-LUCKNOW,13240,2131,9606.75,115281,115.6,December
BHUBANESWAR-LUCKNOW,6968,1885,4495.416666666667,53945,113.1,December
MUMBAI-VIJAYAWADA,17483,3708,12392.285714285714,86746,111.2,December
KOLKATA-TEZPUR,7568,2431,4628.75,55545,111.0,July
AYODHYA-MUMBAI,25709,6126,17697.5,212370,110.7,June
INDORE-SURAT,7575,2811,4311.5,51738,110.5,September
CHANDIGARH-LEH,12383,4505,7335.416666666667,88025,107.4,December
COIMBATORE-GOA,9483,2671,6348.5,76182,107.3,December
PUNE-VISAKHAPATNAM,8250,1922,5901.75,70821,107.2,October
AHMEDABAD-AYODHYA,15172,2793,11685.416666666666,140225,105.9,March
CHENNAI-NAGPUR,8720,1806,6545.0,65450,105.6,April
BENGALURU-JHARSUGUDA,20195,8970,10746.75,128961,104.5,December
AMRITSAR-KOLKATA,15076,4283,10406.416666666666,124877,103.7,December
AGATTI ISLAND-KOCHI,11272,3030,7959.333333333333,95512,103.6,December
JAMMU-LEH,18062,6418,11328.166666666666,135938,102.8,January
AMRITSAR-GOA,10830,2900,7761.444444444444,69853,102.2,January
KANNUR-MUMBAI,19976,5463,14220.25,170643,102.1,January
AHMEDABAD-MOPA,35467,10798,24346.25,97385,101.3,April
CHENNAI-SHIRDI,27352,8397,18982.666666666668,227792,99.9,January
DELHI-KANDLA,6010,1764,4254.583333333333,51055,99.8,May
DELHI-PORT BLAIR,28376,12254,16187.75,194253,99.6,December
JAMMU-MUMBAI,18722,3535,15345.916666666666,184151,99.0,March
BHUBANESWAR-RANCHI,6833,1726,5162.25,61947,98.9,December
JABALPUR-MUMBAI,15430,4734,10929.083333333334,131149,97.9,November
DELHI-JAISALMER,29129,9281,20457.166666666668,122743,97.0,December
DELHI-ITANAGAR,11808,4539,7498.416666666667,89981,96.9,October
PRAYAGRAJ-PUNE,7814,3297,4666.083333333333,55993,96.8,February
BHOPAL-JAIPUR,6934,2949,4173.916666666667,50087,95.5,December
DIU-MUMBAI,7200,1958,5545.75,66549,94.5,January
DEOGHAR-KOLKATA,7860,2900,5284.833333333333,63418,93.9,November
BENGALURU-KANPUR,14091,3611,11290.0,135480,92.8,December
DIMAPUR-GUWAHATI,14032,6501,8121.5,97458,92.7,December
CHENNAI-SALEM,7297,3326,4313.833333333333,51766,92.1,December
PUNE-RAJKOT,8266,3316,5399.75,64797,91.7,December
MUMBAI-SRINAGAR,89385,34734,60264.66666666666,723176,90.7,May
PRAYAGRAJ-RAIPUR,6452,2622,4225.333333333333,50704,90.6,September
HYDERABAD-UDAIPUR,25063,9153,17636.416666666668,211637,90.2,December
CHENNAI-HUBLI,5270,1375,4324.75,51897,90.1,May
INDORE-KOLKATA,32897,14631,20479.5,245754,89.2,December
HYDERABAD-MOPA,33014,10925,24927.25,99709,88.6,March
JODHPUR-PUNE,17835,7734,11462.0,137544,88.1,December
ITANAGAR-KOLKATA,17728,6453,12920.833333333334,155050,87.3,October
HYDERABAD-SRINAGAR,28466,12168,18888.666666666668,226664,86.3,November
CHENNAI-JAIPUR,44519,20947,27550.25,330603,85.6,December
DELHI-NASIK,12519,4776,9091.75,109101,85.2,May
AYODHYA-DELHI,39780,12049,32944.833333333336,395338,84.2,March
PUNE-THIRUVANANTHAPURAM,16389,7137,10985.916666666666,131831,84.2,January
DIBRUGARH-IMPHAL,11272,4873,7617.416666666667,91409,84.0,December
DARBHANGA-MUMBAI,27218,12025,18162.83333333333,217954,83.6,December
GUWAHATI-PUNE,20780,6911,16621.666666666668,199460,83.4,December
INDORE-SHIRDI,7085,2930,5008.0,60096,83.0,December
SHIRDI-VIJAYAWADA,6348,2265,4920.583333333333,59047,83.0,August
DURGAPUR-MUMBAI,22407,8943,16243.083333333334,194917,82.9,July
BAGDOGRA-DIBRUGARH,12102,4864,8822.083333333334,105865,82.0,October
CHANDIGARH-GOA,41902,20064,26721.416666666668,320657,81.7,December
AMRITSAR-BENGALURU,17830,7329,12887.416666666666,154649,81.5,December
GUWAHATI-HYDERABAD,42807,19972,28048.58333333333,336583,81.4,December
LUCKNOW-RANCHI,11992,5729,7799.166666666667,93590,80.3,February
DELHI-LEH,194613,79826,143041.16666666666,1716494,80.2,June
DELHI-DEOGHAR,20198,8000,15286.416666666666,183437,79.8,November
AMRITSAR-HYDERABAD,19480,8026,14367.666666666666,172412,79.7,May
